e	weights
0	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
1	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
2	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
3	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
4	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
5	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
6	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
7	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
8	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
9	{'el': 3.599323654089852, 'fr': 1.0, 'ja': 1.0, 'es': 1.0, 'en': 0.761290405413684}
10	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
11	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
12	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
13	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
14	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
15	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
16	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
17	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
18	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
19	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
20	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
21	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
22	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
23	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
24	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
