e	weights
0	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
1	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
2	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
3	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
4	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
5	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
6	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
7	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
8	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
9	{'en': 4.321952334801422, 'fr': 1.5535949695680427, 'ja': 0.5420362751087944, 'es': 1.5197990774634262, 'el': 1.0}
10	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
11	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
12	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
13	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
14	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
15	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
16	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
17	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
18	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
19	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
20	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
21	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
22	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
23	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
24	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
25	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
26	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
27	{'en': 3.349839022247738, 'fr': 1.550432604811534, 'ja': 0.5631307529684223, 'es': 1.6186910119262836, 'el': 1.0}
28	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
29	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
30	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
31	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
32	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
33	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
34	{'en': 3.2234368238885454, 'fr': 1.5793522721224824, 'ja': 0.5571838629630635, 'es': 1.5489046139529723, 'el': 1.0}
35	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
36	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
37	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
38	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
39	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
40	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
41	{'en': 3.416989686325756, 'fr': 1.5945113613448414, 'ja': 0.5931040746007641, 'es': 1.5969578190167009, 'el': 1.0}
42	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
43	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
44	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
45	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
46	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
47	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
48	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
49	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
50	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
51	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
52	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
53	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
54	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
55	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
56	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
57	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
58	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
59	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
60	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
61	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
62	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
63	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
64	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
65	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
66	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
67	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
68	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
69	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
70	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
71	{'en': 4.233800695132913, 'fr': 1.5846661662634363, 'ja': 0.5761846622348754, 'es': 1.4977813694064879, 'el': 1.0}
72	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
73	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
74	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
75	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
76	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
77	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
78	{'en': 3.258922466633683, 'fr': 1.563561365988583, 'ja': 0.5599180901513714, 'es': 1.5625290290104095, 'el': 1.0}
79	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
80	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
81	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
82	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
83	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
84	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
85	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
86	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
87	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
88	{'en': 4.460947997071678, 'fr': 1.5825160759192964, 'ja': 1.0, 'es': 1.6978826441856878, 'el': 0.733830451111981}
89	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
90	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
91	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
92	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
93	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
94	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
95	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
96	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
97	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
98	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
99	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
100	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
101	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
102	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
103	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
104	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
105	{'en': 3.3475948574940015, 'fr': 1.5676794214507486, 'ja': 0.5609075244816013, 'es': 1.5297854990745263, 'el': 1.0}
106	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
107	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
108	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
109	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
110	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
111	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
112	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
113	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
114	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
115	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
116	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
117	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
118	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
119	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
120	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
121	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
122	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
123	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
124	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
125	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
126	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
127	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
128	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
129	{'en': 3.254332613617788, 'fr': 1.5775672859647933, 'ja': 1.0, 'es': 1.5540161520721125, 'el': 0.6881340065573034}
130	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
131	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
132	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
133	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
134	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
135	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
136	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
137	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
138	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
139	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
140	{'en': 3.2814222028072906, 'fr': 1.6955807659929358, 'ja': 1.0, 'es': 1.5891719478211892, 'el': 0.6325848836036094}
141	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
142	{'en': 3.4957715853840106, 'fr': 1.7153413808058344, 'ja': 0.5509076389442322, 'es': 1.6302519791953172, 'el': 1.0}
143	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
144	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
145	{'en': 4.300328921384326, 'fr': 1.597394276826525, 'ja': 0.5899455754711144, 'es': 1.6637254133638208, 'el': 1.0}
146	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
147	{'en': 3.370740053416484, 'fr': 1.5942193451944326, 'ja': 0.5529960664437021, 'es': 1.6784819916772589, 'el': 1.0}
148	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
149	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
150	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
151	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
152	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
153	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
154	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
155	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
156	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
157	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
158	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
159	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
160	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
161	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
162	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
163	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
164	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
165	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
166	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
167	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
168	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
169	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
170	{'en': 3.3538634884493703, 'fr': 1.5708064702390971, 'ja': 0.7274780891947201, 'es': 1.5476937867601057, 'el': 1.0}
171	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
172	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
173	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
174	{'en': 3.6553558345939887, 'fr': 1.5946468801755938, 'ja': 0.5510607632897255, 'es': 1.5592210092773773, 'el': 1.0}
175	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
176	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
177	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
178	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
179	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
180	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
181	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
182	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
183	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
184	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
185	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
186	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
187	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
188	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
189	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
190	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
191	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
192	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
193	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
194	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
195	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
196	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
197	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
198	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
199	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
200	{'en': 3.944767727729898, 'fr': 1.5192796193804619, 'ja': 0.45049307605150146, 'es': 2.313369364159263, 'el': 1.0}
201	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
202	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
203	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
204	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
205	{'en': 3.503128036713238, 'fr': 1.604375063100289, 'ja': 0.55884895366676, 'es': 1.5726914686582332, 'el': 1.0}
206	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
207	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
208	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
209	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
210	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
211	{'en': 3.425808862113352, 'fr': 1.5464132508528552, 'ja': 0.5837368181186353, 'es': 1.518860414789428, 'el': 1.0}
212	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
213	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
214	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
215	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
216	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
217	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
218	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
219	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
220	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
221	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
222	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
223	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
224	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
225	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
226	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
227	{'en': 1, 'fr': 1, 'ja': 1, 'es': 1, 'el': 1}
