e	weights
0	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
1	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
2	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
3	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
4	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
5	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
6	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
7	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
8	{'es': 4.512512945120986, 'fr': 2.910315316872145, 'ja': 2.3713183979934174, 'el': 2.767296638720704, 'en': 1.8865151842057446}
9	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
10	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
11	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
12	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
13	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
14	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
15	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
16	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
17	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
18	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
19	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
20	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
21	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
22	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
23	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
24	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
25	{'es': 1, 'fr': 1, 'ja': 1, 'el': 1, 'en': 1}
