e	weights
0	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
1	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
2	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
3	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
4	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
5	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
6	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
7	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
8	{'fr': 3.933637791801676, 'ja': -0.5506933481053407, 'es': 1.700416921113637, 'el': 1.0, 'en': 1.6901117585017644}
9	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
10	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
11	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
12	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
13	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
14	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
15	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
16	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
17	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
18	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
19	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
20	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
21	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
22	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
23	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
24	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
25	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
26	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
27	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
28	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
29	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
30	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
31	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
32	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
33	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
34	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
35	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
36	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
37	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
38	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
39	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
40	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
41	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
42	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
43	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
44	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
45	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
46	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
47	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
48	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
49	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
50	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
51	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
52	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
53	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
54	{'fr': 1, 'ja': 1, 'es': 1, 'el': 1, 'en': 1}
