e	weights
0	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
1	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
2	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
3	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
4	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
5	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
6	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
7	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
8	{'ja': 4.272280002190293, 'fr': 1.0, 'es': 0.6938263239500265, 'el': 1.0, 'en': 1.1452655584588767}
9	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
10	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
11	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
12	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
13	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
14	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
15	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
16	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
17	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
18	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
19	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
20	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
21	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
22	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
23	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
24	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
25	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
26	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
27	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
28	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
29	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
30	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
31	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
32	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
33	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
34	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
35	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
36	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
37	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
38	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
39	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
40	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
41	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
42	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
43	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
44	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
45	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
46	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
47	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
48	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
49	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
50	{'ja': 1, 'fr': 1, 'es': 1, 'el': 1, 'en': 1}
